timestamp,app,duration_seconds,source
2026-03-15 11:30:50.839749,Home Screen,5,phone
2026-03-15T11:30:55.371482,C:\Windows\System32\cmd.exe - python  tracker.py,5,pc
2026-03-15T11:30:55.949691,Home Screen,5,phone
2026-03-15T11:31:00.373048,C:\Windows\System32\cmd.exe - python  app.py,5,pc
2026-03-15T11:31:01.043347,Home Screen,5,phone
2026-03-15T11:31:05.374958,C:\Windows\System32\cmd.exe - npm  run dev,5,pc
2026-03-15T11:31:06.197386,Home Screen,5,phone
2026-03-15T11:31:10.377539,C:\WINDOWS\system32\cmd.exe ,5,pc
2026-03-15T11:31:11.335153,Home Screen,5,phone
2026-03-15T11:31:15.379578,weal - Google Chrome,5,pc
2026-03-15T11:31:16.531956,Home Screen,5,phone
2026-03-15T11:31:20.381301,weal - Google Chrome,5,pc
2026-03-15T11:31:21.639582,Home Screen,5,phone
2026-03-15T11:31:25.384242,weal - Google Chrome,5,pc
2026-03-15T11:31:26.741544,Home Screen,5,phone
2026-03-15T11:31:30.385929,weal - Google Chrome,5,pc
2026-03-15T11:31:31.869308,Home Screen,5,phone
2026-03-15T11:31:35.387993,weal - Google Chrome,5,pc
2026-03-15T11:31:36.967409,Home Screen,5,phone
2026-03-15T11:31:40.389066,weal - Google Chrome,5,pc
2026-03-15T11:31:42.071566,Home Screen,5,phone
2026-03-15T11:31:45.390219,weal - Google Chrome,5,pc
2026-03-15T11:31:47.173796,Home Screen,5,phone
2026-03-15T11:31:50.391636,weal - Google Chrome,5,pc
2026-03-15T11:31:52.278603,Home Screen,5,phone
2026-03-15T11:31:55.393433,weal - Google Chrome,5,pc
2026-03-15T11:31:57.383297,Home Screen,5,phone
2026-03-15T11:32:00.410880,weal - Google Chrome,5,pc
2026-03-15T11:32:02.468794,Home Screen,5,phone
2026-03-15T11:32:05.412202,weal - Google Chrome,5,pc
2026-03-15T11:32:07.574900,Home Screen,5,phone
2026-03-15T11:32:10.413537,weal - Google Chrome,5,pc
2026-03-15T11:32:12.678547,Home Screen,5,phone
2026-03-15T11:32:15.414939,weal - Google Chrome,5,pc
2026-03-15T11:32:17.783539,Home Screen,5,phone
2026-03-15T11:32:20.416272,WhatsApp - Google Chrome,5,pc
2026-03-15T11:32:22.886637,Home Screen,5,phone
2026-03-15T11:32:25.417921,Open,5,pc
2026-03-15T11:32:27.988621,Home Screen,5,phone
2026-03-15T11:32:30.419864,Open,5,pc
2026-03-15T11:32:33.097381,Home Screen,5,phone
2026-03-15T11:32:35.430625,WhatsApp - Google Chrome,5,pc
2026-03-15T11:32:38.200602,Home Screen,5,phone
2026-03-15T11:32:40.439276,Nessa Barrett - la di die (feat. Jaden Hossler) - Acoustic,5,pc
2026-03-15T11:32:43.298463,Home Screen,5,phone
2026-03-15T11:32:45.441064,Swedish House Mafia - Moth To A Flame (with The Weeknd),5,pc
2026-03-15T11:32:48.539530,Home Screen,5,phone
2026-03-15T11:32:50.442486,WhatsApp - Google Chrome,5,pc
2026-03-15T11:32:53.642593,Home Screen,5,phone
2026-03-15T11:32:55.444170,WhatsApp - Google Chrome,5,pc
2026-03-15T11:32:58.744434,Home Screen,5,phone
2026-03-15T11:33:00.446345,WhatsApp - Google Chrome,5,pc
2026-03-15T11:33:03.848412,Home Screen,5,phone
2026-03-15T11:33:05.447851,WhatsApp - Google Chrome,5,pc
2026-03-15T11:33:08.950717,Home Screen,5,phone
2026-03-15T11:33:10.449308,Unknown,5,pc
2026-03-15T11:33:14.054112,Home Screen,5,phone
2026-03-15T11:33:15.451331,weal - Google Chrome,5,pc
2026-03-15T11:33:19.160252,Home Screen,5,phone
2026-03-15T11:33:20.453063,weal - Google Chrome,5,pc
2026-03-15T11:33:24.315410,WhatsApp,5,phone
2026-03-15T11:33:25.454957,weal - Google Chrome,5,pc
2026-03-15T11:33:29.451415,WhatsApp,5,phone
2026-03-15T11:33:30.457284,weal - Google Chrome,5,pc
2026-03-15T11:33:34.597141,WhatsApp,5,phone
2026-03-15T11:33:35.458870,weal - Google Chrome,5,pc
2026-03-15T11:33:39.716782,WhatsApp,5,phone
2026-03-15T11:33:40.460612,weal - Google Chrome,5,pc
2026-03-15T11:33:44.847875,Home Screen,5,phone
2026-03-15T11:33:45.462191,weal - Google Chrome,5,pc
2026-03-15T11:33:49.945638,Home Screen,5,phone
2026-03-15T11:33:50.464031,weal - Google Chrome,5,pc
2026-03-15T11:33:55.115969,Home Screen,5,phone
2026-03-15T11:33:55.465498,weal - Google Chrome,5,pc
2026-03-15T11:34:00.277620,Home Screen,5,phone
2026-03-15T11:34:00.467148,weal - Google Chrome,5,pc
2026-03-15T11:34:05.445982,Home Screen,5,phone
2026-03-15T11:34:05.469016,Unknown,5,pc
2026-03-15T11:34:10.470947,Unknown,5,pc
